Ticker,DTYYYYMMDD,Open,High,Low,Close,Volume
AAA,20240701,11050,11250,11000,11200,2053100
AAA,20240702,11200,11500,11150,11300,3734100
AAA,20240703,11400,11550,11300,11500,3246700
AAA,20240704,11500,11600,11300,11400,2116600
AAA,20240705,11400,11900,11400,11650,11375600
AAA,20240708,11800,11850,11550,11750,4081400
AAA,20240709,11800,12100,11700,11800,8335000
AAA,20240710,11850,11900,11700,11700,3597000
AAA,20240711,11800,12100,11750,12050,11919900
AAA,20240712,12150,12350,11950,12100,6674600
AAA,20240715,12200,12600,11950,12400,9416100
AAA,20240716,12500,12600,12150,12200,6840800
AAA,20240717,12350,12350,11350,11700,9067900
AAA,20240718,11700,12050,11650,12050,6755000
AAA,20240719,12050,12050,11650,11700,4318100
AAA,20240722,11750,11800,11250,11700,6214100
AAA,20240723,11650,12000,11300,11400,4708100
AAA,20240724,11350,11700,11150,11650,4276000
AAA,20240725,11450,11600,11250,11450,4346200
AAA,20240726,11450,11700,11450,11700,2441900
AAA,20240729,11800,11850,11650,11700,2255700
AAA,20240730,12000,12300,11900,12000,16476600
AAA,20240731,12100,12100,11650,11650,8013700
AAA,20240801,11650,11750,11100,11200,9501500
AAA,20240802,11100,11400,11050,11300,4444500
AAA,20240805,11000,11150,10550,10550,9415600
AAA,20240806,10700,10900,10550,10850,4066400
AAA,20240807,10850,10900,10500,10800,8287700
AAA,20240808,10750,10750,10300,10300,11605500
AAA,20240809,10500,10600,10300,10350,6630600
AAM,20240701,8250,8250,8100,8120,2600
AAM,20240702,8120,8120,8000,8000,4000
AAM,20240703,8190,8190,8000,8030,4400
AAM,20240704,8000,8110,7500,8110,4800
AAM,20240705,8100,8110,8100,8110,1300
AAM,20240708,8210,8210,8150,8150,12700
AAM,20240709,8500,8500,8300,8470,11900
AAM,20240710,8470,8470,8100,8380,2700
AAM,20240711,8380,8400,8300,8300,1600
AAM,20240712,8050,8300,8050,8200,2200
AAM,20240715,8200,8200,8100,8100,4800
AAM,20240716,8100,8100,8050,8050,1200
AAM,20240717,8060,8500,8060,8370,50200
AAM,20240718,8370,8370,8100,8220,7300
AAM,20240719,8230,8300,8070,8100,51000
AAM,20240722,8060,8070,8060,8070,300
AAM,20240723,8070,8250,7510,8250,8500
AAM,20240724,8390,8390,8100,8100,7000
AAM,20240725,8070,8070,8050,8050,4900
AAM,20240726,8010,8040,8000,8000,4600
AAM,20240729,8000,8000,7800,7940,9700
AAM,20240730,7940,7940,7700,7800,11900
AAM,20240731,7800,7850,7800,7850,200
AAM,20240801,7840,7840,7790,7790,2900
AAM,20240802,7400,7700,7400,7690,1600
AAM,20240805,7600,7600,7520,7520,3200
AAM,20240806,7520,7520,7440,7440,700
AAM,20240807,7500,7690,7450,7450,800
AAM,20240808,7690,7690,7460,7460,400
AAM,20240809,7460,7470,7460,7460,1700
AAT,20240701,4150,4180,4150,4150,24800
AAT,20240702,4150,4200,4140,4150,14200
AAT,20240703,4150,4410,4140,4160,41400
AAT,20240704,4160,4170,4130,4130,33900
AAT,20240705,4130,4130,4040,4090,67000
AAT,20240708,4060,4110,3960,4100,62700
AAT,20240709,4100,4200,4020,4020,91200
AAT,20240710,4020,4040,4020,4030,24500
AAT,20240711,4050,4150,4030,4060,20300
AAT,20240712,4060,4080,4030,4060,33700
AAT,20240715,4060,4060,4000,4060,67400
AAT,20240716,4060,4060,4020,4030,40900
AAT,20240717,4030,4030,4000,4000,63500
AAT,20240718,4010,4010,3860,3880,155500
AAT,20240719,3880,3980,3880,3980,12100
AAT,20240722,3900,4040,3900,4010,70200
AAT,20240723,4000,4000,3900,3990,51200
AAT,20240724,3900,3970,3860,3900,92700
AAT,20240725,3870,3900,3860,3880,11200
AAT,20240726,3880,3950,3850,3920,18200
AAT,20240729,3920,3920,3810,3830,27100
AAT,20240730,3830,3890,3570,3640,191700
AAT,20240731,3640,3890,3530,3550,109200
AAT,20240801,3550,3650,3390,3430,46900
AAT,20240802,3600,3600,3500,3550,44000
AAT,20240805,3550,3550,3320,3340,46200
AAT,20240806,3350,3490,3200,3460,28100
AAT,20240807,3460,3490,3380,3440,34500
AAT,20240808,3440,3600,3440,3470,31300
AAT,20240809,3500,3500,3430,3470,22200
ABR,20240702,13300,13300,13300,13300,100
ABR,20240703,13300,13300,13300,13300,100
ABR,20240704,12550,13300,12550,13300,400
ABR,20240708,13300,13300,12700,13250,1200
ABR,20240710,13150,13150,12800,13050,1000
ABR,20240711,13800,13800,13500,13500,300
ABR,20240715,13250,13800,13000,13650,16100
ABR,20240717,13650,13650,13650,13650,100
ABR,20240719,12850,13500,12850,13500,7700
ABR,20240722,12650,13500,12650,13050,4200
ABR,20240723,13000,13400,13000,13000,1500
ABR,20240724,12850,12850,12850,12850,500
ABR,20240725,12800,12800,12800,12800,400
ABR,20240726,12800,13000,12800,13000,2100
ABR,20240729,13000,13000,12600,12600,1200
ABR,20240730,12600,12600,12600,12600,400
ABR,20240731,13000,13000,13000,13000,100
ABR,20240801,12350,12350,12200,12200,5000
ABR,20240802,12000,12600,12000,12600,1100
ABR,20240805,12300,12600,11800,12600,2100
ABR,20240806,12550,12550,12550,12550,100
ABR,20240808,11900,12400,11900,12400,200
ABR,20240809,12400,12400,12400,12400,100
ABS,20240701,5120,5200,5120,5180,145000
ABS,20240702,5200,5230,5180,5200,85600
ABS,20240703,5210,5220,5160,5190,120300
ABS,20240704,5190,5250,5190,5220,231400
ABS,20240705,5220,5230,5140,5140,302800
ABS,20240708,5110,5210,5110,5130,129800
ABS,20240709,5160,5160,5120,5150,204800
ABS,20240710,5160,5180,5110,5130,185800
ABS,20240711,5130,5210,5130,5190,157700
ABS,20240712,5170,5180,5150,5160,121100
ABS,20240715,5150,5210,5120,5160,129900
ABS,20240716,5150,5160,5120,5120,193900
ABS,20240717,5150,5160,5000,5030,278800
ABS,20240718,5090,5100,5000,5070,222400
ABS,20240719,5090,5090,4990,5010,347800
ABS,20240722,5010,5010,4870,4900,539700
ABS,20240723,4950,4950,4870,4870,223400
ABS,20240724,4940,4940,4530,4820,239800
ABS,20240725,4810,4810,4750,4770,182600
ABS,20240726,4780,4940,4780,4820,147800
ABS,20240729,4830,4860,4700,4710,176600
ABS,20240730,4720,4790,4700,4710,294000
ABS,20240731,4740,4760,4690,4730,154500
ABS,20240801,4730,4750,4570,4580,280000
ABS,20240802,4580,4580,4450,4560,312400
ABS,20240805,4450,4500,4250,4250,492600
ABS,20240806,4200,4280,4200,4270,300800
ABS,20240807,4260,4320,4250,4270,78800
ABS,20240808,4270,4310,4250,4280,173300
ABS,20240809,4350,4350,4290,4300,128200
ABT,20240701,35400,35400,35400,35400,100
ABT,20240702,35200,35700,35200,35700,300
ABT,20240703,35950,37000,35950,37000,11000
ABT,20240704,37000,37500,37000,37500,1400
ABT,20240708,36700,38000,36700,38000,4300
ABT,20240709,38500,38500,38500,38500,100
ABT,20240711,38500,38500,37950,38000,19600
ABT,20240712,38200,39600,38200,39600,1100
ABT,20240715,39550,39550,39000,39000,1200
ABT,20240716,38350,38850,38300,38850,600
ABT,20240718,37250,38000,37250,38000,200
ABT,20240719,37500,37500,37000,37500,1600
ABT,20240725,37500,38500,37000,37900,3900
ABT,20240726,38500,40550,38500,39900,6800
ABT,20240730,39300,39500,39300,39500,3700
ABT,20240731,39500,40000,39500,39500,1700
ABT,20240801,38150,38800,38100,38800,400
ABT,20240802,38000,38500,38000,38500,2300
ABT,20240805,38500,38500,38500,38500,200
ABT,20240806,38000,38200,38000,38200,600
ABT,20240809,37800,40450,37500,40450,5300
ACB,20240701,23800,23850,23600,23800,3933500
ACB,20240702,23800,24100,23700,24050,6016100
ACB,20240703,24150,24400,23950,24250,8968800
ACB,20240704,24300,24350,23950,24150,7588101
ACB,20240705,24150,24300,24000,24300,7335001
