Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
6/8/2024,30600.0,29600.0,31000.0,29400.0 ,17.11M,3.38%
5/8/2024,29600.0,30650.0,31150.0,29500.0 ,22.03M,-5.28%
2/8/2024,31250.0,29850.0,31350.0,29750.0 ,15.35M,3.14%
1/8/2024,30300.0,32100.0,32100.0,30000.0 ,23.88M,-4.72%
31/07/2024,31800.0,32200.0,32300.0,31700.0 ,7.85M,-0.47%
30/07/2024,31950.0,32200.0,32400.0,31900.0 ,5.99M,-0.78%
29/07/2024,32200.0,32350.0,32550.0,32200.0 ,5.70M,0.31%
26/07/2024,32100.0,32100.0,32300.0,31900.0 ,7.00M,0.63%
25/07/2024,31900.0,32300.0,32650.0,31800.0 ,16.46M,-3.04%
24/07/2024,32900.0,33650.0,33900.0,31950.0 ,21.94M,-2.81%
23/07/2024,33850.0,34650.0,34750.0,33850.0 ,12.72M,-2.31%
22/07/2024,34650.0,34750.0,35050.0,34150.0 ,10.11M,-0.43%
19/07/2024,34800.0,34700.0,35200.0,34500.0 ,17.26M,1.31%
18/07/2024,34350.0,34350.0,34400.0,33800.0 ,9.45M,0.59%
17/07/2024,34150.0,34600.0,34950.0,33950.0 ,14.34M,-0.73%
16/07/2024,34400.0,34500.0,35000.0,34350.0 ,7.48M,0.29%
15/07/2024,34300.0,34700.0,34700.0,34300.0 ,3.95M,-0.44%
12/7/2024,34450.0,34800.0,34900.0,34450.0 ,5.11M,-1.01%
11/7/2024,34800.0,34600.0,35150.0,34450.0 ,11.00M,1.31%
10/7/2024,34350.0,34700.0,34750.0,34350.0 ,5.76M,-0.87%
9/7/2024,34650.0,34600.0,34900.0,34300.0 ,10.08M,0.29%
8/7/2024,34550.0,34800.0,35050.0,34400.0 ,7.63M,-0.29%
5/7/2024,34650.0,34400.0,34650.0,34150.0 ,7.44M,0.73%
4/7/2024,34400.0,34450.0,34800.0,34300.0 ,5.77M,-0.15%
3/7/2024,34450.0,34350.0,34600.0,34350.0 ,5.95M,0.29%
2/7/2024,34350.0,34050.0,34350.0,33900.0 ,7.21M,1.33%
1/7/2024,33900.0,34050.0,34100.0,33450.0 ,7.93M,-0.15%
28/06/2024,33950.0,34300.0,34450.0,33750.0 ,11.36M,-1.02%
27/06/2024,34300.0,34300.0,34550.0,34100.0 ,5.31M,-0.29%
26/06/2024,34400.0,34550.0,34650.0,33600.0 ,11.52M,-0.43%
25/06/2024,34550.0,34600.0,34850.0,34400.0 ,6.52M,-0.14%
24/06/2024,34600.0,35450.0,35500.0,34200.0 ,27.19M,-2.54%
21/06/2024,35500.0,35800.0,36000.0,35500.0 ,9.06M,-1.11%
20/06/2024,35900.0,36200.0,36300.0,35400.0 ,14.27M,-0.83%
19/06/2024,36200.0,36200.0,36300.0,35800.0 ,9.77M,0.28%
18/06/2024,36100.0,36100.0,36300.0,35850.0 ,9.69M,0.56%
17/06/2024,35900.0,36000.0,36250.0,35750.0 ,12.55M,-0.55%
14/06/2024,36100.0,36700.0,37200.0,36100.0 ,26.74M,-1.10%
13/06/2024,36500.0,36800.0,36900.0,36350.0 ,13.01M,-0.27%
12/6/2024,36600.0,35850.0,36600.0,35800.0 ,27.35M,2.23%
11/6/2024,35800.0,35500.0,35800.0,35250.0 ,14.78M,1.27%
10/6/2024,35350.0,35500.0,35800.0,35350.0 ,13.31M,-0.28%
7/6/2024,35450.0,35650.0,35650.0,35300.0 ,6.45M,0.14%
6/6/2024,35400.0,35600.0,35650.0,35200.0 ,8.63M,0.00%
5/6/2024,35400.0,35450.0,35800.0,35400.0 ,14.11M,0.00%
4/6/2024,35400.0,35400.0,35900.0,35350.0 ,11.44M,0.00%
3/6/2024,35400.0,35000.0,35600.0,35000.0 ,12.49M,2.02%
31/05/2024,34700.0,34850.0,35000.0,34600.0 ,8.44M,-0.43%
30/05/2024,34850.0,35000.0,35050.0,34300.0 ,18.86M,-0.99%
29/05/2024,35200.0,35750.0,35900.0,35100.0 ,13.09M,-1.12%
28/05/2024,35600.0,35300.0,35600.0,35150.0 ,13.04M,1.42%
27/05/2024,35100.0,35250.0,35500.0,34800.0 ,16.84M,-0.43%
24/05/2024,35250.0,36300.0,36450.0,34800.0 ,28.29M,-3.95%
23/05/2024,36700.0,36400.0,36700.0,35850.0 ,16.68M,0.69%
22/05/2024,36450.0,36800.0,37350.0,36400.0 ,22.69M,-0.95%
21/05/2024,36800.0,36550.0,36800.0,36300.0 ,14.04M,0.41%
20/05/2024,36650.0,36600.0,37100.0,36500.0 ,19.95M,0.69%
