Mã CK,Đóng cửa,Trần,Sàn,Giá 3 Mua,KL 3 Mua,Giá 2 Mua,KL 2 Mua,Giá 1 Mua,KL 1 Mua,Giá khớp,Khối lượng khớp,Thay đổi giá,Tỷ lệ thay đổi,Giá 1 Bán,KL 1 Bán,Giá 2 Bán,KL 2 Bán,Giá 3 Bán,KL 3 Bán,TKL đã khớp,KL NN mua,KL NN bán
AAA,"10,30","11,00","9,58","10,25",1.538,"10,30",4.830,"10,35",1.691,"10,35",1.961,"0,05","0,49","10,40",262,"10,45",453,"10,50",790,66.306,1.573,1.051
AAM,"7,46","7,98","6,94","7,10",1,"7,15",2,"7,46",1,"7,46",,"0,00","0,00","7,68",1,"7,69",5,"7,70",20,17,,
AAT,"3,47","3,71","3,23","3,42",6,"3,43",9,"3,45",9,"3,47",4,"0,00","0,00","3,47",10,"3,48",20,"3,50",320,222,,
ABR,"12,40","13,25","11,55",,,"11,55",1,"11,70",2,"12,40",,"0,00","0,00","12,40",38,"12,45",20,"12,60",9,1,,
ABS,"4,28","4,57","3,99","4,28",64,"4,29",231,"4,30",468,"4,30",137,"0,02","0,47","4,32",9,"4,33",43,"4,34",72,1.282,,
ABT,"38,20","40,85","35,55","37,75",1,"37,80",3,"37,85",1,"40,45",,"2,25","5,89","40,40",8,"40,50",3,"40,85",5,53,23,1
ACB,"23,25","24,85","21,65","23,45",1.028,"23,50",891,"23,55",303,"23,60",1.949,"0,35","1,51","23,60",1.987,"23,65",1.424,"23,70",579,30.069,,
ACC,"13,30","14,20","12,40","13,00",37,"13,10",36,"13,30",57,"13,70",,"0,40","3,01","13,50",7,"13,70",42,"13,80",1,72,,
ACG,"41,55","44,45","38,65","40,90",12,"41,00",13,"41,05",5,"41,05",29,"-0,50","-1,20","41,80",7,"41,90",2,"41,95",10,430,26,
ACL,"12,00","12,80","11,20","11,70",27,"11,75",19,"11,80",1,"12,00",2,"0,00","0,00","12,00",266,"12,05",3,"12,10",21,112,20,
ADG,"12,80","13,65","11,95","12,40",1,"12,60",1,"12,70",24,"13,30",1,"0,50","3,91","13,30",5,"13,40",10,"13,45",4,12,,1
ADP,"34,00","36,35","31,65","31,85",7,"31,90",15,"31,95",5,"32,00",,"-2,00","-5,88","32,00",16,"32,30",7,"32,50",10,899,13,
ADS,"11,40","12,15","10,65","11,55",401,"11,60",48,"11,70",1,"11,70",192,"0,30","2,63","11,75",180,"11,80",103,"11,85",106,1.253,,94
AGG,"17,10","18,25","15,95","17,05",24,"17,10",4,"17,15",34,"17,15",80,"0,05","0,29","17,20",37,"17,25",31,"17,30",14,3.797,,2.116
AGM,"3,01","3,22","2,80","3,04",2,"3,10",6,"3,11",1.090,"3,11",64,"0,10","3,32","3,12",74,"3,14",10,"3,15",147,2.051,,
AGR,"16,60","17,75","15,45","17,20",491,"17,25",446,"17,30",505,"17,35",294,"0,75","4,52","17,35",27,"17,40",412,"17,45",381,21.882,473,226
ANV,"31,30","33,45","29,15","31,60",110,"31,65",146,"31,70",2,"31,70",607,"0,40","1,28","31,75",30,"31,80",42,"31,85",160,7.115,,12
APG,"10,40","11,10","9,68","10,75",235,"10,90",101,"11,00",10,"11,00",157,"0,60","5,77","11,05",15,"11,10",35,,,1.423,35,37
APH,"8,85","9,46","8,24","8,86",638,"8,87",136,"8,88",449,"8,88",560,"0,03","0,34","8,94",52,"8,95",100,"8,96",161,9.854,,
ASG,"19,50","20,85","18,15","18,90",6,"19,10",2,"19,30",6,"19,60",,"0,10","0,51","19,50",10,"19,55",2,"19,60",60,99,,
ASM,"8,81","9,42","8,20","8,81",365,"8,82",309,"8,83",73,"8,84",472,"0,03","0,34","8,84",33,"8,86",9,"8,87",10,5.872,46,503
ASP,"4,22","4,51","3,93","4,17",100,"4,20",28,"4,21",1,"4,24",1,"0,02","0,47","4,24",49,"4,25",90,"4,26",98,135,,
AST,"58,40","62,40","54,40","58,60",51,"58,70",2,"58,80",24,"58,80",,"0,40","0,68","59,80",7,"59,90",4,"60,00",34,31,10,
BAF,"18,05","19,30","16,80","17,95",193,"18,00",453,"18,05",214,"18,05",942,"0,00","0,00","18,10",9,"18,15",35,"18,20",355,13.916,768,1.783
BBC,"49,80","53,20","46,35","48,55",1,"48,70",1,"48,75",10,"49,85",,"0,05","0,10","49,85",1,"50,50",1,"50,80",1,7,,
BCE,"5,70","6,09","5,31","5,50",130,"5,51",11,"5,60",4,"5,74",2,"0,04","0,70","5,74",68,"5,75",1,"5,77",8,340,,
BCG,"6,48","6,93","6,03","6,52",711,"6,53",203,"6,54",1.290,"6,55",4.431,"0,07","1,08","6,55",367,"6,56",550,"6,57",646,82.064,1.274,2.221
BCM,"71,50","76,50","66,50","71,30",10,"71,40",5,"71,50",270,"71,50",1.306,"0,00","0,00","71,70",11,"71,80",77,"71,90",136,5.598,759,1.270
BFC,"41,80","44,70","38,90","43,45",2,"43,60",206,"43,65",161,"43,95",356,"2,15","5,14","43,95",104,"44,00",515,"44,05",50,7.793,1.008,584
BHN,"38,00","40,65","35,35","38,00",2,"38,55",1,"38,85",3,"39,00",,"1,00","2,63","39,50",1,"39,55",4,"39,85",4,16,,
BIC,"36,40","38,90","33,90","36,30",62,"36,35",25,"36,40",131,"36,80",25,"0,40","1,10","36,80",16,"37,00",2,"37,25",1,137,13,
BID,"46,00","49,20","42,80","46,60",26,"46,65",133,"46,70",143,"46,70",1.516,"0,70","1,52","46,75",1,"46,80",87,"46,85",205,10.509,388,1.836
BKG,"3,72","3,98","3,46","3,66",136,"3,67",40,"3,68",48,"3,68",2,"-0,04","-1,08","3,71",5,"3,72",19,"3,73",9,832,5,
BMC,"21,60","23,10","20,10","20,80",30,"20,90",63,"20,95",9,"20,95",21,"-0,65","-3,01","21,00",18,"21,20",1,"21,30",25,1.710,,
BMI,"23,35","24,95","21,75","23,25",218,"23,30",52,"23,35",38,"23,35",37,"0,00","0,00","23,45",17,"23,50",40,"23,55",11,1.339,61,329
BMP,"92,90","99,40","86,40","93,30",1,"93,50",64,"93,60",4,"93,70",47,"0,80","0,86","93,70",7,"93,90",15,"94,00",140,773,290,255
BRC,"12,25","13,10","11,40","11,80",4,"11,90",7,"11,95",9,"11,95",9,"-0,30","-2,45","12,25",9,"12,35",9,"12,40",4,40,,
BSI,"45,80","49,00","42,60","48,20",114,"48,25",1,"48,55",5,"48,55",769,"2,75","6,00","48,60",82,"48,65",20,"48,70",32,15.066,745,1.033
BTP,"12,70","13,55","11,85","12,60",30,"12,65",54,"12,70",15,"12,80",,"0,10","0,79","12,80",15,"12,85",5,"12,90",8,85,,
BTT,"34,00","36,35","31,65",,,,,,,,,,,"35,90",5,"36,00",15,,,,,
BVH,"42,60","45,55","39,65","42,85",500,"42,90",209,"43,00",632,"43,30",558,"0,70","1,64","43,30",133,"43,35",52,"43,40",4,4.635,543,666
BWE,"42,10","45,00","39,20","42,00",59,"42,05",21,"42,10",12,"42,10",69,"0,00","0,00","42,30",10,"42,45",3,"42,50",26,1.512,,579
